container,temperature,ventilation,drainholes,source,page
MNBU4386847,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3
MNBU4452506,3.0,25.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MNBU9009949,3.0,20.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MNBU9018160,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MNBU9106403,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MNBU9110487,-20.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MNBU9162536,3.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MWCU5235620,2.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU6178149,2.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU6196163,-20.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU6252631,3.0,20.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU8021230,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU8054810,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU8091428,-18.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU8181970,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
SUDU8194581,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
TLLU1166477,3.0,20.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4
MMAU1095350,-23.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MMAU1306319,-23.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU0304368,0.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU0414977,-23.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3082942,0.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3445884,1.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3533877,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3555053,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3555095,-23.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3568106,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3592123,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3609400,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3833370,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3883303,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5
MNBU3938469,1.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU4123727,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU4126789,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU4433701,0.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU9080546,1.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU9112068,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
MNBU9199221,0.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
SUDU6079059,0.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
SUDU8197770,-23.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
TLLU1167278,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
TLLU1193277,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6
