container,temperature,ventilation,drainholes,source,page
HLBU6002622,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3568106,0.5,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3445884,1.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9928772,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
SUDU6079059,0.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
TLLU1167278,0.5,015,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU6125519,20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLXU3749376,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3466850,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU6165050,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MWCU5235620,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MMAU1195431,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
GESU9503660,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3068733,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9484765,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3249095,3.0,025,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU0584504,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3147998,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU4282056,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU0084900,5.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU0102500,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
SZLU6004428,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
SEGU9112485,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU4452506,3.0,025,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU3313532,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
MNBU0542155,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
MMAU1000864,3.0,020,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9411007,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9068428,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU6017582,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9229836,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9691546,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU6135646,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9169167,-22.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
SEGU9015192,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9196666,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9720259,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
TEMU9038194,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
HLBU9604897,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2
CXRU1540396,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
HLBU9893070,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
HLBU9328649,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
HLBU6252690,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
HLBU9038357,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
SUDU8197770,-23.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
TRIU8738267,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
HLBU6065976,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
SEGU9112649,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3
